subtype,class,n,p_val,p_adj,standard_signif,fdr_signif,bonferroni_signif
COREAD,epi,41,3.6568770971043754e-5,0.001060494358160269,TRUE,TRUE,TRUE
SKCM,non-epi,28,0.0025649253970440027,0.03719141825713804,TRUE,TRUE,FALSE
KIRC,epi,15,0.013498740291730336,0.1304878228200599,TRUE,FALSE,FALSE
ESCA,epi,27,0.03788575257374641,0.26189242743574825,TRUE,FALSE,FALSE
NB,non-epi,19,0.049049245528974265,0.26189242743574825,TRUE,FALSE,FALSE
BLCA,epi,15,0.05418464015912033,0.26189242743574825,FALSE,FALSE,FALSE
OV,epi,21,0.07850608570285413,0.32523949791182427,FALSE,FALSE,FALSE
GBM,non-epi,24,0.10285245916179242,0.37284016446149754,FALSE,FALSE,FALSE
CLL,non-epi,2,0.12135166538761875,0.39102203291566046,FALSE,FALSE,FALSE
MB,non-epi,4,0.13614143712323906,0.39481016765739324,FALSE,FALSE,FALSE
LIHC,epi,14,0.18404228592852095,0.46101088804090684,FALSE,FALSE,FALSE
UCEC,epi,9,0.1907631260858925,0.46101088804090684,FALSE,FALSE,FALSE
LUSC,epi,14,0.2233320877518685,0.49820234960032206,FALSE,FALSE,FALSE
PAAD,epi,24,0.24688712463912393,0.5114090438953282,FALSE,FALSE,FALSE
HNSC,epi,24,0.29438352376864113,0.5691414792860395,FALSE,FALSE,FALSE
ALL,non-epi,22,0.34744775525462257,0.5962614535620895,FALSE,FALSE,FALSE
LUAD,epi,44,0.34953257622605244,0.5962614535620895,FALSE,FALSE,FALSE
PRAD,epi,6,0.393689831096379,0.6302672648454012,FALSE,FALSE,FALSE
DLBC,non-epi,18,0.4129337252435387,0.6302672648454012,FALSE,FALSE,FALSE
THCA,epi,12,0.43959894206577943,0.6374184659953801,FALSE,FALSE,FALSE
LGG,non-epi,6,0.534426500151355,0.7250439164698442,FALSE,FALSE,FALSE
CESC,epi,13,0.5500333159426405,0.7250439164698442,FALSE,FALSE,FALSE
SCLC,non-epi,28,0.649054226128039,0.7541103663212725,FALSE,FALSE,FALSE
MM,non-epi,15,0.6711799496816337,0.7541103663212725,FALSE,FALSE,FALSE
LCML,non-epi,7,0.6838890316212498,0.7541103663212725,FALSE,FALSE,FALSE
BRCA,epi,39,0.686474614199881,0.7541103663212725,FALSE,FALSE,FALSE
STAD,epi,18,0.7021027548508398,0.7541103663212725,FALSE,FALSE,FALSE
MESO,epi,15,0.7294751704226191,0.7555278550805699,FALSE,FALSE,FALSE
LAML,non-epi,14,0.9899255002611516,0.9899255002611516,FALSE,FALSE,FALSE
ACC,non-epi,1,NA,NA,FALSE,FALSE,FALSE
